JWF Variation,JWF File,Status,Classification,Practical Params,Notes
gLSLSquares,GLSLSquaresFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
gLSLStarsField,GLSLStarsFieldFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
gPattern,GPatternFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
gamma,GammaFunc.java,EXISTS,,,
gaussianBlur,GaussianBlurFunc.java,NOT_VIABLE,BLUR,,
geometricPrimitives,GeometricPrimitivesFunc.java,NOT_VIABLE,BASE_SHAPE,,
gingerBreadMan,GingerBreadManFunc.java,NOT_VIABLE,BASE_SHAPE,,
glitchy1,Glitchy1Func.java,NOT_VIABLE,3D; init(),,
glitchy2,Glitchy2Func.java,NOT_VIABLE,init(),,
glynnLissa,GlynnLissaFunc.java,NOT_VIABLE,SIMULATION; init(),,
glynnS3SubflWF,GlynnS3SubflWFFunc.java,NOT_VIABLE,DC/Color,,
glynnSim1,GlynnSim1Func.java,NOT_VIABLE,SIMULATION; init(),,
glynnSim2,GlynnSim2Func.java,NOT_VIABLE,SIMULATION; init(),,
glynnSim2B,GlynnSim2BFunc.java,NOT_VIABLE,3D; SIMULATION; init(),,
glynnSim3,GlynnSim3Func.java,NOT_VIABLE,SIMULATION; init(),,
glynnSpiroGraf3D,GlynnSpiroGraf3DFunc.java,NOT_VIABLE,3D,,
glynnSuperShape,GlynnSuperShapeFunc.java,NOT_VIABLE,init(),,
glynnia,GlynniaFunc.java,NOT_VIABLE,init(),,
glynnia3,Glynnia3Func.java,NOT_VIABLE,init(),,
gosperIsland,GosperIslandFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
greebles,GreeblesFunc.java,NOT_VIABLE,3D; BASE_SHAPE,,
grid3DWF,Grid3DWFFunc.java,NOT_VIABLE,3D; DC/Color,,
gridout,GridoutFunc.java,VIABLE,VIABLE,0,
gridout2,Gridout2Func.java,EXISTS,,,
gridout3D,Gridout3DFunc.java,NOT_VIABLE,3D,,
gumowskiMira,GumowskiMiraFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(13),,
hO,HOFunc.java,NOT_VIABLE,3D,,
hadamard,HadamardFunc.java,VIABLE,VIABLE,0,
hamid,HamidFunc.java,NOT_VIABLE,BASE_SHAPE; init(),,
handkerchief,HandkerchiefFunc.java,EXISTS,,,
harmonograph,HarmonographFunc.java,EXISTS,,,
heart,HeartFunc.java,EXISTS,,,
heartWF,HeartWFFunc.java,NOT_VIABLE,DC/Color,,
helicoid,HelicoidFunc.java,NOT_VIABLE,3D,,
helix,HelixFunc.java,NOT_VIABLE,3D,,
hemisphere,HemisphereFunc.java,NOT_VIABLE,3D,,
henon,HenonFunc.java,EXISTS,,,
hexModulus,HexModulusFunc.java,VIABLE,VIABLE,3,
hexPrism3D,HexPrism3DFunc.java,NOT_VIABLE,3D,,
hexaplay3D,Hexaplay3DFunc.java,NOT_VIABLE,3D,,
hexes,HexesFunc.java,EXISTS,,,
hexnix3D,Hexnix3DFunc.java,NOT_VIABLE,3D,,
hilbert,HilbertFunc.java,EXISTS,,,
hole,HoleFunc.java,EXISTS,,,
hole2,Hole2Func.java,EXISTS,,,
holesq,HolesqFunc.java,VIABLE,VIABLE,0,
hopalong,HopalongFunc.java,EXISTS,,,
horseshoe,HorseshoeFunc.java,EXISTS,,,
hourglass3D,Hourglass3DFunc.java,NOT_VIABLE,3D,,
htree,HtreeFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
hyperbolic,HyperbolicFunc.java,EXISTS,,,
hyperbolicEllipse,HyperbolicEllipseFunc.java,EXISTS,,,
hypercrop,HypercropFunc.java,NOT_VIABLE,3D,,
hypershift,HypershiftFunc.java,VIABLE,VIABLE,6,
hypershift2,Hypershift2Func.java,NOT_VIABLE,3D,,
hypertile,HypertileFunc.java,EXISTS,,,
hypertile1,Hypertile1Func.java,NOT_VIABLE,init(),,
hypertile2,Hypertile2Func.java,EXISTS,,,
hypertile3D,Hypertile3DFunc.java,NOT_VIABLE,3D,,
hypertile3D1,Hypertile3D1Func.java,NOT_VIABLE,3D,,
hypertile3D2,Hypertile3D2Func.java,NOT_VIABLE,3D,,
hypertile3D2b,Hypertile3D2bFunc.java,NOT_VIABLE,3D,,
hypertile3Db,Hypertile3DbFunc.java,NOT_VIABLE,3D,,
iDisc,IDiscFunc.java,NOT_VIABLE,init(),,
iconAttractor,IconAttractorFunc.java,EXISTS,,,
inflateZ_1,InflateZ_1Func.java,VIABLE,VIABLE,0,
inflateZ_2,InflateZ_2Func.java,VIABLE,VIABLE,0,
inflateZ_3,InflateZ_3Func.java,VIABLE,VIABLE,0,
inflateZ_4,InflateZ_4Func.java,VIABLE,VIABLE,0,
inflateZ_5,InflateZ_5Func.java,VIABLE,VIABLE,0,
inflateZ_6,InflateZ_6Func.java,VIABLE,VIABLE,0,
internalPrePostAffinePostWF,InternalPrePostAffinePostWFFunc.java,NOT_VIABLE,DC/Color,,
internalPrePostAffinePreWF,InternalPrePostAffinePreWFFunc.java,NOT_VIABLE,DC/Color,,
internalSliceRangeIndicatorWF,InternalSliceRangeIndicatorWFFunc.java,NOT_VIABLE,DC/Color,,
intersection,IntersectionFunc.java,NOT_VIABLE,init(),,
invSquircular,InvSquircularFunc.java,VIABLE,VIABLE,0,
invTree,InvTreeFunc.java,VIABLE,VIABLE,0,
inversion,InversionFunc.java,EXISTS,,,
inverted_Julia,Inverted_JuliaFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(27),,
invpolar,InvpolarFunc.java,VIABLE,VIABLE,0,
jacAsn,JacAsnFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
jacCn,JacCnFunc.java,VIABLE,VIABLE,3,
jacDn,JacDnFunc.java,VIABLE,VIABLE,3,
jacElk,JacElkFunc.java,VIABLE,VIABLE,3,
jacSn,JacSnFunc.java,VIABLE,VIABLE,3,
japaneseMapleLeaf,JapaneseMapleLeafFunc.java,NOT_VIABLE,DC/Color,,
joukowski,JoukowskiFunc.java,EXISTS,,,
jubiQ,JubiQFunc.java,NOT_VIABLE,3D; init(),,
julia,JuliaFunc.java,EXISTS,,,
julia3D,Julia3DFunc.java,NOT_VIABLE,3D,,
julia3DQ,Julia3DQFunc.java,NOT_VIABLE,3D,,
julia3DZ,Julia3DZFunc.java,NOT_VIABLE,3D,,
juliaC,JuliaCFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
juliaN,JuliaNFunc.java,EXISTS,,,
juliaN2,JuliaN2Func.java,NOT_VIABLE,init(),,
juliaN3DX,JuliaN3DXFunc.java,NOT_VIABLE,3D,,
juliaOutside,JuliaOutsideFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
juliaQ,JuliaQFunc.java,EXISTS,,,
juliaScope,JuliaScopeFunc.java,EXISTS,,,
juliaScope3Db,JuliaScope3DbFunc.java,NOT_VIABLE,3D,,
juliaScopePlus,JuliaScopePlusFunc.java,NOT_VIABLE,DC; init(),,
kIFS3D,KIFS3DFunc.java,NOT_VIABLE,3D,,
kaleidoImg,KaleidoImgFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
kaleidoscope,KaleidoscopeFunc.java,EXISTS,,,
kaplan,KaplanFunc.java,EXISTS,,,
kleinGroup,KleinGroupFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
knots3D,Knots3DFunc.java,NOT_VIABLE,3D,,
koch,KochFunc.java,EXISTS,,,
lace,LaceFunc.java,VIABLE,VIABLE,0,
layeredSpiral,LayeredSpiralFunc.java,VIABLE,VIABLE,3,
lazyJess,LazyJessFunc.java,NOT_VIABLE,init(),,
lazySensen,LazySensenFunc.java,EXISTS,,,
lazySusan,LazySusanFunc.java,EXISTS,,,
lazyTravis,LazyTravisFunc.java,NOT_VIABLE,init(),,
line,LineFunc.java,EXISTS,,,
linear,LinearFunc.java,EXISTS,,,
linear3D,Linear3DFunc.java,NOT_VIABLE,3D,,
linearT,LinearTFunc.java,EXISTS,,,
linearT3D,LinearT3DFunc.java,NOT_VIABLE,3D,,
lissajous,LissajousFunc.java,EXISTS,,,
log,LogFunc.java,VIABLE,VIABLE,0,
logApo,LogApoFunc.java,EXISTS,,,
logDb,LogDbFunc.java,NOT_VIABLE,init(),,
logTile2,LogTile2Func.java,EXISTS,,,
loonie,LoonieFunc.java,EXISTS,,,
loonie2,Loonie2Func.java,NOT_VIABLE,init(),,
loonie3,Loonie3Func.java,NOT_VIABLE,init(),,
loonie_3D,Loonie_3DFunc.java,NOT_VIABLE,3D,,
loq,LoqFunc.java,NOT_VIABLE,3D; init(),,
lorenz,LorenzFunc.java,NOT_VIABLE,3D; DC; init(),,
lozi,LoziFunc.java,EXISTS,,,
lsystem,LsystemFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
mCarpet,MCarpetFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
mSTruchet,MSTruchetFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
macMillan,MacMillanFunc.java,EXISTS,,,
mandala,MandalaFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
mandala2,Mandala2Func.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
mandelbox2D,Mandelbox2DFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(36),,
mandelbrot,MandelbrotFunc.java,NOT_VIABLE,3D; BASE_SHAPE; SIMULATION; init(),,
mapleLeaf,MapleLeafFunc.java,NOT_VIABLE,DC/Color,,
mask,MaskFunc.java,EXISTS,,,
maurerLines,MaurerLinesFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
maurerRose,MaurerRoseFunc.java,EXISTS,,,
meeple,MeepleFunc.java,NOT_VIABLE,BASE_SHAPE,,
minkQM,MinkQMFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(18),,
minkowskope,MinkowskopeFunc.java,NOT_VIABLE,init(),,
mobiq,MobiqFunc.java,NOT_VIABLE,3D,,
mobiqN,MobiqNFunc.java,NOT_VIABLE,3D; init(),,
mobius,MobiusFunc.java,EXISTS,,,
mobius3DWithInverse,Mobius3DWithInverseFunc.java,NOT_VIABLE,3D,,
mobiusDragon3D,MobiusDragon3DFunc.java,NOT_VIABLE,3D,,
mobiusN,MobiusNFunc.java,NOT_VIABLE,init(),,
mobiusStrip,MobiusStripFunc.java,NOT_VIABLE,3D; init(),,
modulus,ModulusFunc.java,EXISTS,,,
multiIFS,MultiIFSFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(21),,
murl,MurlFunc.java,EXISTS,,,
murl2,Murl2Func.java,EXISTS,,,
nBlur,NBlurFunc.java,NOT_VIABLE,BASE_SHAPE; init(),,
nPolar,NPolarFunc.java,EXISTS,,,
nSudoku,NSudokuFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
naturalFoam,NaturalFoamFunc.java,NOT_VIABLE,3D; SIMULATION,,
neuron3D,Neuron3DFunc.java,NOT_VIABLE,3D,,
ngon,NgonFunc.java,EXISTS,,,
oakLeaf,OakLeafFunc.java,NOT_VIABLE,BASE_SHAPE,,
octagon,OctagonFunc.java,EXISTS,,,
octahedron3D,Octahedron3DFunc.java,NOT_VIABLE,3D,,
octapol,OctapolFunc.java,NOT_VIABLE,3D; init(),,
octogonPrism3D,OctogonPrism3DFunc.java,NOT_VIABLE,3D,,
onion,OnionFunc.java,EXISTS,,,
onion2,Onion2Func.java,EXISTS,,,
orientedCappedCone3D,OrientedCappedCone3DFunc.java,NOT_VIABLE,3D,,
orientedCylinder3D,OrientedCylinder3DFunc.java,NOT_VIABLE,3D,,
orientedRoundCone3D,OrientedRoundCone3DFunc.java,NOT_VIABLE,3D,,
ortho,OrthoFunc.java,VIABLE,VIABLE,6,
oscilloscope,OscilloscopeFunc.java,EXISTS,,,
oscilloscope2,Oscilloscope2Func.java,EXISTS,,,
ovoid,OvoidFunc.java,VIABLE,VIABLE,6,
ovoid3D,Ovoid3DFunc.java,NOT_VIABLE,3D,,
pDJ,PDJFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
pDJ3D,PDJ3DFunc.java,NOT_VIABLE,3D,,
pRose3D,PRose3DFunc.java,NOT_VIABLE,3D,,
pTransform,PTransformFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(15),,
panorama1,Panorama1Func.java,VIABLE,VIABLE,0,
panorama2,Panorama2Func.java,VIABLE,VIABLE,0,
parabola,ParabolaFunc.java,EXISTS,,,
parallel,ParallelFunc.java,NOT_VIABLE,init(),,
perspective,PerspectiveFunc.java,EXISTS,,,
petal,PetalFunc.java,VIABLE,VIABLE,0,
petal3D,Petal3DFunc.java,NOT_VIABLE,3D,,
petal3DApo,Petal3DApoFunc.java,NOT_VIABLE,3D,,
phoenixJulia,PhoenixJuliaFunc.java,EXISTS,,,
pie,PieFunc.java,EXISTS,,,
pie3D,Pie3DFunc.java,NOT_VIABLE,3D,,
pixelFlow,PixelFlowFunc.java,EXISTS,,,
planeWF,PlaneWFFunc.java,NOT_VIABLE,DC/Color,,
plusRecip,PlusRecipFunc.java,VIABLE,VIABLE,6,
poincare3D,Poincare3DFunc.java,NOT_VIABLE,3D,,
pointGrid3DWF,PointGrid3DWFFunc.java,NOT_VIABLE,3D; DC/Color,,
pointGridWF,PointGridWFFunc.java,NOT_VIABLE,DC/Color,,
pointMirrorSymmetry,PointMirrorSymmetryFunc.java,NOT_VIABLE,init(),,
polar,PolarFunc.java,EXISTS,,,
polar2,Polar2Func.java,VIABLE,VIABLE,0,
polySurf,PolySurfFunc.java,NOT_VIABLE,3D; init(),,
polylogarithm,PolylogarithmFunc.java,NOT_VIABLE,init(),,
popcorn,PopcornFunc.java,EXISTS,,,
popcorn2,Popcorn2Func.java,EXISTS,,,
popcorn2_3D,Popcorn2_3DFunc.java,NOT_VIABLE,3D,,
postAexion3dCrop,PostAexion3dCropFunc.java,NOT_VIABLE,3D,,
postAffine3D,PostAffine3DFunc.java,NOT_VIABLE,3D,,
postAmazingSurfCrop,PostAmazingSurfCropFunc.java,NOT_VIABLE,3D; DC,,
postAxisSymmetryWF,PostAxisSymmetryWFFunc.java,NOT_VIABLE,DC/Color,,
postBWraps2,PostBWraps2Func.java,EXISTS,,,
postBenesiCrop,PostBenesiCropFunc.java,NOT_VIABLE,3D; DC,,
postBristorbrotCrop,PostBristorbrotCropFunc.java,NOT_VIABLE,3D; DC,,
postBrushStrokeWF,PostBrushStrokeWFFunc.java,NOT_VIABLE,DC/Color,,
postBulbTorusCrop,PostBulbTorusCropFunc.java,NOT_VIABLE,3D; DC,,
postBumpMapWF,PostBumpMapWFFunc.java,NOT_VIABLE,DC/Color,,
postCircleCrop,PostCircleCropFunc.java,EXISTS,,,
postCoastalbrotCrop,PostCoastalbrotCropFunc.java,NOT_VIABLE,3D; DC,,
postColorMapWF,PostColorMapWFFunc.java,NOT_VIABLE,DC/Color,,
postColorScaleWF,PostColorScaleWFFunc.java,NOT_VIABLE,DC/Color,,
postCrop,PostCropFunc.java,EXISTS,,,
postCropBox,PostCropBoxFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
postCropCross,PostCropCrossFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
postCropPolygon,PostCropPolygonFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
postCropRhombus,PostCropRhombusFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
postCropStars,PostCropStarsFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
postCropTrapezoid,PostCropTrapezoidFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
postCropTriangle,PostCropTriangleFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(18),,
postCropVesica,PostCropVesicaFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
postCropX,PostCropXFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
postCrosscrop,PostCrosscropFunc.java,NOT_VIABLE,3D,,
postCurl,PostCurlFunc.java,EXISTS,,,
postCurl3D,PostCurl3DFunc.java,NOT_VIABLE,3D,,
postCustomWF,PostCustomWFFunc.java,NOT_VIABLE,DC/Color,,
postDCZTransl,PostDCZTranslFunc.java,NOT_VIABLE,3D; init(),,
postDepth,PostDepthFunc.java,NOT_VIABLE,3D,,
postDisplacementMapWF,PostDisplacementMapWFFunc.java,NOT_VIABLE,DC/Color,,
postFalloff2,PostFalloff2Func.java,NOT_VIABLE,DC/Color,,
postFalloff3,PostFalloff3Func.java,NOT_VIABLE,DC/Color,,
postFlatten,PostFlattenFunc.java,VIABLE,VIABLE,0,
postHeat,PostHeatFunc.java,NOT_VIABLE,3D; init(),,
postJulia3DQ,PostJulia3DQFunc.java,NOT_VIABLE,3D,,
postJuliaQ,PostJuliaQFunc.java,NOT_VIABLE,init(),,
postLogTile2,PostLogTile2Func.java,NOT_VIABLE,3D,,
postMandelbox3dCrop,PostMandelbox3dCropFunc.java,NOT_VIABLE,3D,,
postMandelbulb3dCrop,PostMandelbulb3dCropFunc.java,NOT_VIABLE,3D,,
postMirrorWF,PostMirrorWFFunc.java,NOT_VIABLE,DC/Color,,
postPointCrop,PostPointCropFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(24),,
postPointSymmetryWF,PostPointSymmetryWFFunc.java,NOT_VIABLE,DC/Color,,
postRBlur,PostRBlurFunc.java,NOT_VIABLE,BLUR; init(),,
postRotateX,PostRotateXFunc.java,NOT_VIABLE,3D,,
postRotateY,PostRotateYFunc.java,NOT_VIABLE,3D,,
postRotateZ,PostRotateZFunc.java,NOT_VIABLE,3D,,
postSmartCrop,PostSmartCropFunc.java,NOT_VIABLE,init(),,
postSpherical,PostSphericalFunc.java,VIABLE,VIABLE,0,
postSpinZ,PostSpinZFunc.java,NOT_VIABLE,init(),,
postTrig,PostTrigFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(51),,
postZScaleWF,PostZScaleWFFunc.java,NOT_VIABLE,DC/Color,,
postZSymmetry,PostZSymmetryFunc.java,NOT_VIABLE,init(),,
postZTranslateWF,PostZTranslateWFFunc.java,NOT_VIABLE,DC/Color,,
postZVar,PostZVarFunc.java,NOT_VIABLE,init(),,
powBlock,PowBlockFunc.java,EXISTS,,,
power,PowerFunc.java,EXISTS,,,
preAffine3D,PreAffine3DFunc.java,NOT_VIABLE,3D,,
preBWraps2,PreBWraps2Func.java,NOT_VIABLE,init(),,
preBlur,PreBlurFunc.java,NOT_VIABLE,BLUR; init(),,
preBlur3D,PreBlur3DFunc.java,NOT_VIABLE,3D,,
preBoarders2,PreBoarders2Func.java,NOT_VIABLE,init(),,
preCircleCrop,PreCircleCropFunc.java,NOT_VIABLE,init(),,
preCrop,PreCropFunc.java,NOT_VIABLE,init(),,
preCurl,PreCurlFunc.java,EXISTS,,,
preCustomWF,PreCustomWFFunc.java,NOT_VIABLE,DC/Color,,
preDCZTransl,PreDCZTranslFunc.java,NOT_VIABLE,3D; init(),,
preDisc,PreDiscFunc.java,VIABLE,VIABLE,0,
preDisc3D,PreDisc3DFunc.java,NOT_VIABLE,3D,,
preFalloff3,PreFalloff3Func.java,NOT_VIABLE,DC/Color,,
preFlatten,PreFlattenFunc.java,VIABLE,VIABLE,0,
prePostAffine,PrePostAffineFunc.java,NOT_VIABLE,3D; init(),,
prePostBlob,PrePostBlobFunc.java,NOT_VIABLE,init(),,
prePostCirclize,PrePostCirclizeFunc.java,NOT_VIABLE,init(),,
prePostMobius,PrePostMobiusFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(24),,
preRecip,PreRecipFunc.java,NOT_VIABLE,3D,,
preRectWF,PreRectWFFunc.java,NOT_VIABLE,DC/Color,,
preRotateX,PreRotateXFunc.java,NOT_VIABLE,3D,,
preRotateY,PreRotateYFunc.java,VIABLE,VIABLE,0,
preSinusoidal3D,PreSinusoidal3DFunc.java,NOT_VIABLE,3D,,
preSpherical,PreSphericalFunc.java,VIABLE,VIABLE,0,
preSpinZ,PreSpinZFunc.java,NOT_VIABLE,init(),,
preStabilize,PreStabilizeFunc.java,NOT_VIABLE,DC; init(),,
preSubFlameWF,PreSubFlameWFFunc.java,NOT_VIABLE,DC/Color,,
preWave3DWF,PreWave3DWFFunc.java,NOT_VIABLE,3D; DC/Color,,
preZScale,PreZScaleFunc.java,VIABLE,VIABLE,0,
preZSymmetry,PreZSymmetryFunc.java,NOT_VIABLE,init(),,
preZTranslate,PreZTranslateFunc.java,VIABLE,VIABLE,0,
preZVar,PreZVarFunc.java,NOT_VIABLE,init(),,
pressure_Wave,Pressure_WaveFunc.java,VIABLE,VIABLE,6,
primitivesWF,PrimitivesWFFunc.java,NOT_VIABLE,DC/Color,,
projective,ProjectiveFunc.java,EXISTS,,,
pulse,PulseFunc.java,EXISTS,,,
pyramid,PyramidFunc.java,EXISTS,,,
pyramid3D,Pyramid3DFunc.java,NOT_VIABLE,3D,,
q_ode,Q_odeFunc.java,EXISTS,,,
quad,QuadFunc.java,NOT_VIABLE,init(),,
quaternion,QuaternionFunc.java,NOT_VIABLE,3D; init(),,
r_Circleblur,R_CircleblurFunc.java,NOT_VIABLE,BASE_SHAPE; BLUR,,
radialBlur,RadialBlurFunc.java,EXISTS,,,
rational3,Rational3Func.java,EXISTS,,,
rays,RaysFunc.java,EXISTS,,,
rays1,Rays1Func.java,VIABLE,VIABLE,0,
rays2,Rays2Func.java,VIABLE,VIABLE,0,
rays3,Rays3Func.java,VIABLE,VIABLE,0,
rectangles,RectanglesFunc.java,EXISTS,,,
recurrencePlot,RecurrencePlotFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
rhodonea,RhodoneaFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
rhombus3D,Rhombus3DFunc.java,NOT_VIABLE,3D,,
ringSubFlame,RingSubFlameFunc.java,NOT_VIABLE,3D; BASE_SHAPE; SIMULATION; init(),,
ringTile,RingTileFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(15),,
ringer,RingerFunc.java,NOT_VIABLE,init(),,
rings,RingsFunc.java,EXISTS,,,
rings2,Rings2Func.java,EXISTS,,,
rings3,Rings3Func.java,NOT_VIABLE,init(),,
ripple,RippleFunc.java,EXISTS,,,
rippled,RippledFunc.java,VIABLE,VIABLE,0,
romanesco,RomanescoFunc.java,NOT_VIABLE,3D; DC; BASE_SHAPE,,
roseWF,RoseWFFunc.java,NOT_VIABLE,DC/Color,,
rosoni,RosoniFunc.java,NOT_VIABLE,init(),,
roundBox3D,RoundBox3DFunc.java,NOT_VIABLE,3D,,
roundSpher,RoundSpherFunc.java,VIABLE,VIABLE,0,
roundSpher3D,RoundSpher3DFunc.java,NOT_VIABLE,3D,,
rsquares,RsquaresFunc.java,EXISTS,,,
sTwin,STwinFunc.java,EXISTS,,,
sVF,SVFFunc.java,NOT_VIABLE,3D,,
sVGWF,SVGWFFunc.java,NOT_VIABLE,DC/Color,,
sZubieta,SZubietaFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
sattractor,SattractorFunc.java,EXISTS,,,
scrambly,ScramblyFunc.java,NOT_VIABLE,init(),,
scry,ScryFunc.java,EXISTS,,,
scry2,Scry2Func.java,EXISTS,,,
scry3D,Scry3DFunc.java,NOT_VIABLE,3D,,
seaShell3D,SeaShell3DFunc.java,NOT_VIABLE,3D,,
sec,SecFunc.java,VIABLE,VIABLE,0,
sec2_BS,Sec2_BSFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
secant2,Secant2Func.java,VIABLE,VIABLE,0,
sech,SechFunc.java,VIABLE,VIABLE,0,
sech2_BS,Sech2_BSFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
sechq,SechqFunc.java,NOT_VIABLE,3D,,
secq,SecqFunc.java,NOT_VIABLE,3D,,
separation,SeparationFunc.java,EXISTS,,,
shapeWarp,ShapeWarpFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(60),,
shift,ShiftFunc.java,EXISTS,,,
shredded,ShreddedFunc.java,NOT_VIABLE,3D,,
shredlin,ShredlinFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
shredrad,ShredradFunc.java,EXISTS,,,
siercarpet,SiercarpetFunc.java,NOT_VIABLE,SIMULATION,,
sigmoid,SigmoidFunc.java,EXISTS,,,
sin,SinFunc.java,VIABLE,VIABLE,0,
sin2_BS,Sin2_BSFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
sineBlur,SineBlurFunc.java,EXISTS,,,
sinh,SinhFunc.java,VIABLE,VIABLE,0,
sinh2_BS,Sinh2_BSFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
sinhq,SinhqFunc.java,NOT_VIABLE,3D,,
sinq,SinqFunc.java,NOT_VIABLE,3D,,
sintrange,SintrangeFunc.java,EXISTS,,,
sinusGrid,SinusGridFunc.java,EXISTS,,,
sinusoidal,SinusoidalFunc.java,EXISTS,,,
sinusoidal3D,Sinusoidal3DFunc.java,NOT_VIABLE,3D,,
snowflakeWF,SnowflakeWFFunc.java,NOT_VIABLE,DC/Color,,
solidAngle3D,SolidAngle3DFunc.java,NOT_VIABLE,3D,,
sph3D,Sph3DFunc.java,NOT_VIABLE,3D,,
sphTiling3V2,SphTiling3V2Func.java,NOT_VIABLE,DC,,
sphereCrop,SphereCropFunc.java,NOT_VIABLE,3D; init(),,
sphereNja,SphereNjaFunc.java,NOT_VIABLE,3D,,
spherical,SphericalFunc.java,EXISTS,,,
spherical3D,Spherical3DFunc.java,NOT_VIABLE,3D,,
spherical3DWF,Spherical3DWFFunc.java,NOT_VIABLE,3D; DC/Color,,
sphericalN,SphericalNFunc.java,EXISTS,,,
spiral,SpiralFunc.java,EXISTS,,,
spiralwing,SpiralwingFunc.java,VIABLE,VIABLE,0,
spirograph,SpirographFunc.java,EXISTS,,,
spirograph3D,Spirograph3DFunc.java,NOT_VIABLE,3D,,
spligon,SpligonFunc.java,NOT_VIABLE,init(),,
splipticBS,SplipticBSFunc.java,NOT_VIABLE,init(),,
split,SplitFunc.java,EXISTS,,,
splitBrdr,SplitBrdrFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
splits,SplitsFunc.java,EXISTS,,,
splits3D,Splits3DFunc.java,NOT_VIABLE,3D,,
sqrt_Acosech,Sqrt_AcosechFunc.java,VIABLE,VIABLE,0,
sqrt_Acosh,Sqrt_AcoshFunc.java,VIABLE,VIABLE,0,
sqrt_Acoth,Sqrt_AcothFunc.java,VIABLE,VIABLE,0,
sqrt_Asech,Sqrt_AsechFunc.java,VIABLE,VIABLE,0,
sqrt_Asinh,Sqrt_AsinhFunc.java,VIABLE,VIABLE,0,
sqrt_Atanh,Sqrt_AtanhFunc.java,VIABLE,VIABLE,0,
square,SquareFunc.java,EXISTS,,,
square3D,Square3DFunc.java,NOT_VIABLE,3D,,
squarize,SquarizeFunc.java,EXISTS,,,
squircular,SquircularFunc.java,EXISTS,,,
squirrel,SquirrelFunc.java,EXISTS,,,
squish,SquishFunc.java,EXISTS,,,
starBlur,StarBlurFunc.java,EXISTS,,,
starFractal,StarFractalFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
stripes,StripesFunc.java,EXISTS,,,
stripfit,StripfitFunc.java,EXISTS,,,
subFlameWF,SubFlameWFFunc.java,NOT_VIABLE,DC/Color,,
sunFlowers,SunFlowersFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
sunflowerVoroni,SunflowerVoroniFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
superShape,SuperShapeFunc.java,EXISTS,,,
