JWF Variation,JWF File,Status,Classification,Practical Params,Notes
cosh2_BS,Cosh2_BSFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
coshq,CoshqFunc.java,NOT_VIABLE,3D,,
cosine,CosineFunc.java,EXISTS,,,
cosq,CosqFunc.java,NOT_VIABLE,3D,,
cot,CotFunc.java,VIABLE,VIABLE,0,
cot2_BS,Cot2_BSFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
coth,CothFunc.java,VIABLE,VIABLE,0,
coth2_BS,Coth2_BSFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
cothq,CothqFunc.java,NOT_VIABLE,3D,,
cotq,CotqFunc.java,NOT_VIABLE,3D,,
crackle,CrackleFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
crob,CrobFunc.java,EXISTS,,,
crop,CropFunc.java,NOT_VIABLE,init(),,
crop3D,Crop3DFunc.java,NOT_VIABLE,3D,,
cropBox,CropBoxFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
cropCross,CropCrossFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
cropPolygon,CropPolygonFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
cropRhombus,CropRhombusFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
cropStars,CropStarsFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
cropTrapezoid,CropTrapezoidFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
cropTriangle,CropTriangleFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(18),,
cropVesica,CropVesicaFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
cropX,CropXFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
cross,CrossFunc.java,EXISTS,,,
crown,CrownFunc.java,NOT_VIABLE,3D; DC; BASE_SHAPE; init(),,
csc,CscFunc.java,VIABLE,VIABLE,0,
csc2_BS,Csc2_BSFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
cscSquared,CscSquaredFunc.java,EXISTS,,,
csch,CschFunc.java,VIABLE,VIABLE,0,
csch2_BS,Csch2_BSFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(12),,
cschq,CschqFunc.java,NOT_VIABLE,3D,,
cscq,CscqFunc.java,NOT_VIABLE,3D,,
cubicLattice3D,CubicLattice3DFunc.java,NOT_VIABLE,3D,,
cubic_3D,Cubic_3DFunc.java,NOT_VIABLE,3D,,
curl,CurlFunc.java,EXISTS,,,
curl3D,Curl3DFunc.java,NOT_VIABLE,3D,,
curlSp,CurlSpFunc.java,NOT_VIABLE,3D; DC; init(),,
curliecue,CurliecueFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
curve,CurveFunc.java,EXISTS,,,
customFullVariationWrapper,CustomFullVariationWrapperFunc.java,NOT_VIABLE,3D; init(),,
customWF,CustomWFFunc.java,NOT_VIABLE,DC/Color,,
cut2eWangTile,Cut2eWangTileFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutAlienText,CutAlienTextFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutApollonian,CutApollonianFunc.java,EXISTS,,,
cutBTree,CutBTreeFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutBasicTruchet,CutBasicTruchetFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutBooleans,CutBooleansFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutBricks,CutBricksFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutCeltic,CutCelticFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutChains,CutChainsFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutCircleDesign,CutCircleDesignFunc.java,EXISTS,,,
cutFingerPrint,CutFingerPrintFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION,,
cutFractal,CutFractalFunc.java,EXISTS,,,
cutFun,CutFunFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutGlypho,CutGlyphoFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION,,
cutHexDots,CutHexDotsFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION,,
cutHexTruchetFlow,CutHexTruchetFlowFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION,,
cutJigsaw,CutJigsawFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutKaleido,CutKaleidoFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutKleinian,CutKleinianFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutMagField,CutMagFieldFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutMandala,CutMandalaFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
cutMetaBalls,CutMetaBallsFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION,,
